timestamp,Air Temperature (V),Relative Humidity (mA),Dew Point (°C),Rainfall,Rainfall Since 9am,Last Hours Evaporation,Wind Direction,Current Wind Speed,Peak Wind Gust,Vector Wind Speed,Vector Wind Direction,Solar Radiation
23-Jun-25 9:53:20 AM AEST,nan,nan,20.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:54:00 AM AEST,nan,70.7,nan,nan,nan,nan,294.40,0.81,10.60,7.70,295.00,436.60
23-Jun-25 9:54:18 AM AEST,26.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:54:24 AM AEST,nan,nan,20.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:55:00 AM AEST,nan,70.5,nan,nan,nan,nan,311.00,0.91,14.20,8.50,312.10,320.80
23-Jun-25 9:55:28 AM AEST,nan,nan,20.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:56:00 AM AEST,nan,70.8,nan,nan,nan,nan,305.00,0.60,11.80,5.30,303.10,354.10
23-Jun-25 9:56:32 AM AEST,nan,nan,20.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:57:00 AM AEST,26.4,71.0,nan,nan,nan,nan,290.50,0.52,10.60,4.50,299.50,160.00
23-Jun-25 9:57:36 AM AEST,nan,nan,20.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:58:00 AM AEST,nan,70.8,nan,nan,nan,nan,331.00,0.88,13.00,7.80,332.50,508.30
23-Jun-25 9:58:06 AM AEST,26.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:58:40 AM AEST,nan,nan,20.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 9:59:00 AM AEST,nan,71.2,nan,nan,nan,nan,324.50,0.71,9.50,6.30,325.10,521.60
23-Jun-25 9:59:44 AM AEST,nan,nan,20.7,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:00:00 AM AEST,26.4,71.5,nan,nan,nan,nan,286.30,0.43,7.10,4.10,288.40,537.50
23-Jun-25 10:00:01 AM AEST,nan,nan,nan,nan,nan,0.26,nan,nan,nan,nan,nan,nan
23-Jun-25 10:00:48 AM AEST,nan,nan,20.8,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:01:00 AM AEST,nan,72.0,nan,nan,nan,nan,302.90,0.38,nan,1.10,339.20,557.40
23-Jun-25 10:01:06 AM AEST,26.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:01:52 AM AEST,nan,nan,21.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:02:00 AM AEST,nan,71.3,nan,nan,nan,nan,308.10,0.89,14.20,8.10,312.90,300.80
23-Jun-25 10:02:56 AM AEST,nan,nan,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:03:00 AM AEST,nan,70.5,nan,nan,nan,nan,325.30,0.60,9.50,4.40,321.80,374.10
23-Jun-25 10:04:00 AM AEST,nan,71.0,20.8,nan,nan,nan,343.40,0.27,4.70,2.50,345.30,339.20
23-Jun-25 10:05:00 AM AEST,26.8,71.5,nan,nan,nan,nan,344.40,0.28,7.10,2.80,345.00,314.20
23-Jun-25 10:05:04 AM AEST,nan,nan,20.9,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:05:04 AM AEST,nan,nan,21.2,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:06:00 AM AEST,nan,71.2,nan,nan,nan,nan,327.30,0.91,14.20,6.30,330.80,444.90
23-Jun-25 10:06:08 AM AEST,nan,nan,21.1,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:07:00 AM AEST,nan,71.0,nan,nan,nan,nan,2.10,0.40,7.10,3.60,5.00,448.30
23-Jun-25 10:08:00 AM AEST,nan,70.7,nan,nan,nan,nan,348.40,0.85,18.90,5.30,356.30,281.60
23-Jun-25 10:09:00 AM AEST,26.6,69.7,21.0,nan,nan,nan,351.40,0.95,14.20,8.60,345.40,210.00
23-Jun-25 10:10:00 AM AEST,nan,69.8,nan,nan,nan,nan,318.40,0.35,7.10,2.90,320.40,205.00
23-Jun-25 10:10:04 AM AEST,nan,nan,20.6,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:11:00 AM AEST,nan,70.0,nan,nan,nan,nan,20.60,0.50,nan,3.30,13.40,236.60
23-Jun-25 10:12:00 AM AEST,26.5,70.2,nan,nan,nan,nan,353.50,0.67,11.80,5.30,349.60,229.20
23-Jun-25 10:13:00 AM AEST,nan,69.8,nan,nan,nan,nan,301.00,0.90,14.20,8.60,301.80,213.30
23-Jun-25 10:13:06 AM AEST,26.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:14:00 AM AEST,nan,nan,20.4,nan,nan,nan,315.30,0.98,13.00,8.00,318.10,188.30
23-Jun-25 10:14:12 AM AEST,26.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:15:00 AM AEST,nan,70.2,nan,nan,nan,nan,321.40,0.64,11.80,5.80,325.10,189.20
23-Jun-25 10:15:04 AM AEST,nan,nan,20.3,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:15:18 AM AEST,26.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:16:00 AM AEST,nan,nan,nan,nan,nan,nan,280.40,0.79,10.60,7.30,283.90,195.00
23-Jun-25 10:16:24 AM AEST,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:17:00 AM AEST,nan,70.3,20.2,nan,nan,nan,303.30,0.50,7.10,2.30,303.30,216.70
23-Jun-25 10:18:00 AM AEST,nan,70.5,nan,nan,nan,nan,357.40,0.82,11.80,5.20,356.70,252.40
23-Jun-25 10:19:00 AM AEST,nan,71.0,nan,nan,nan,nan,319.80,0.88,16.60,7.90,316.30,231.70
23-Jun-25 10:20:00 AM AEST,nan,70.8,20.3,nan,nan,nan,329.90,0.86,nan,6.70,327.40,228.30
23-Jun-25 10:21:00 AM AEST,25.9,71.2,nan,nan,nan,nan,343.20,0.60,9.50,4.40,345.30,235.80
23-Jun-25 10:22:00 AM AEST,nan,71.3,nan,nan,nan,nan,344.80,0.77,11.80,6.00,355.50,255.00
23-Jun-25 10:22:06 AM AEST,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23-Jun-25 10:23:00 AM AEST,nan,71.8,nan,nan,nan,nan,323.80,0.33,7.10,2.70,334.20,263.30
23-Jun-25 10:24:00 AM AEST,nan,71.7,20.5,nan,nan,nan,304.90,0.69,10.60,6.20,302.60,275.00
23-Jun-25 10:25:00 AM AEST,26.1,71.8,nan,nan,nan,nan,330.80,0.75,13.00,7.40,328.90,284.10
23-Jun-25 10:26:00 AM AEST,nan,nan,20.6,nan,nan,nan,355.10,0.64,10.60,4.50,348.00,283.30
23-Jun-25 10:26:06 AM AEST,25.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
