"day","Max_Temp","Av_Temp","Min_Temp","Radiant_exposure","Rainfall"
2021-09-15,29.9166666666667,23.1899213038424,16.4333333333333,21480.4751692058,0
2021-09-16,28.7,22.266299822984,16.44,23148.6837505656,0
2021-09-17,29.0666666666667,21.925177833862,15.75,21789.3338273271,0
2021-09-18,28.8375,22.9964498680988,17.35,21049.9413214286,0
2021-09-19,28.9285714285714,24.0521234172041,20.3714285714286,19689.986353022,0
2021-09-20,29.0923076923077,24.4947267478749,18.7,17779.4334427998,0
2021-09-21,29.7,21.6887132312132,17.2333333333333,1778.8265,0
2021-09-22,26.1076923076923,20.5577381390539,14.5142857142857,23891.0732733516,0
2021-09-23,27.83,21.6235575240362,13.85,17856.0596385747,0
2021-09-24,28.4357142857143,23.3265113845965,17.2,16311.6341238761,0
2021-09-25,28,24.0358114047788,20.75,11694.0747481416,0
2021-09-26,30.7,24.1284483855452,18.34,23917.8227217782,0
2021-09-27,30.7181818181818,24.4986000406213,18.55,24032.9688229271,0
2021-09-28,30.67,25.9518091413272,21.7,21244.7900025048,0.4
2021-09-29,30.7083333333333,25.3484485329485,22.05,17258.0712327378,0
2021-09-30,25.9,23.7775129198966,21.6,3358.05002572428,0
2021-10-01,30.7363636363636,24.6880296269924,18.85,18968.8355143606,0
2021-10-02,32.8857142857143,25.4458180489102,20.2,21824.8526530969,0
2021-10-03,30.61,25.3828789642071,20.2333333333333,22567.1665751748,0
2021-10-04,31.9125,26.267185172983,20.65,24508.0551687944,0
2021-10-05,32.12,26.1677168412795,21.36,23421.0841678322,0
2021-10-06,32.3571428571429,26.2099669213765,21.6333333333333,23194.3899024725,0
2021-10-07,31.5333333333333,25.3691400938243,19.9666666666667,23912.8025969031,0
2021-10-08,31.925,25.3255838576317,20,24444.1228928571,0
2021-10-09,32.4,25.765257175573,20,24720.2783914027,0
2021-10-10,31.6272727272727,25.4294555205846,19.95,25311.2889519231,0
2021-10-11,31.7818181818182,25.340857412515,18.2333333333333,23832.1550680569,0
2021-10-12,31.6571428571429,25.6135186850187,19.55,24675.1496348651,0
2021-10-13,31.0846153846154,25.5118776116357,19.7,24131.9130906593,0
2021-10-14,31.825,26.2984931334098,21.225,22034.7718392857,0
2021-10-15,31.0307692307692,25.3697294849714,21.2,12634.3402032967,5.8
2021-10-16,34.15,26.1608852020142,19.65,25756.2682746445,0
2021-10-17,33.95,27.8284341724167,21.55,24018.1440581771,0
2021-10-18,33.37,27.700032464483,22.95,23332.0145226244,0
2021-10-19,32.0909090909091,26.9657242772162,21.1444444444444,25930.6088767776,0
2021-10-20,31.9375,27.3021110455201,21.3333333333333,24022.807342437,0
2021-10-21,31.725,27.9822559385059,23.7166666666667,21489.1525892857,0
2021-10-22,32.3307692307692,27.84899451317,25.44,16716.6756848152,0
2021-10-23,33.7833333333333,27.940824409965,23.76,22269.7111585547,0
2021-10-24,32.4833333333333,26.6546925236599,21.2666666666667,26024.2586264544,0
2021-10-25,32.5733333333333,25.9456535165247,19.95,25997.5154770744,0
2021-10-26,32.2727272727273,26.0713832687459,19.75,23831.4726098901,0
2021-10-27,32.275,26.7060201854883,21.5333333333333,25245.916883161,0
2021-10-28,32.76,25.9922286667581,20.95,21550.3454449521,0
2021-10-29,32.7,27.093331211799,20.6333333333333,24797.2329337427,0
2021-10-30,33.3,27.2548803912815,21.55,25179.9640458218,0
2021-10-31,34.1833333333333,28.0805667727334,21.7,25138.7739504246,0
2021-11-01,33.7,28.165970997088,23.85,21486.2065607628,0
2021-11-02,29.7571428571429,26.4968938707648,23.5555555555556,9359.55035075953,8.8
2021-11-03,32.9538461538462,26.7167525900026,22.45,16134.298970265,2.8
2021-11-04,31.3166666666667,25.8325109871813,22.25,19664.226375,5.4
2021-11-05,31.7,25.8827382003961,21.6,18597.0483580096,0.8
2021-11-06,32.8333333333333,26.215128766033,20.24,25850.6833894855,0
2021-11-07,33.3666666666667,27.5105740406547,21.6,26818.1628145604,0
2021-11-08,33.11,28.0449047510461,23.8428571428571,22953.6789534436,0
2021-11-09,32.64,28.2825115177862,24.96,17223.5837237395,0.4
2021-11-10,33.0818181818182,28.6860747959905,24.25,20503.0340825425,0
2021-11-11,33.6666666666667,29.3959513245593,25.05,22680.1837950358,0
2021-11-12,33.1545454545455,28.7079060873416,24,22017.3546996239,0
2021-11-13,33.9615384615385,28.9757011454455,24.74,21273.9666505039,0
2021-11-14,33.0333333333333,28.0447674177674,22.35,15003.4330560249,0
2021-11-15,34.1,29.0601838607058,24.9,17555.5316208791,0
2021-11-16,33.7307692307692,28.3541910805922,24.5333333333333,20163.1388130252,14.2
2021-11-17,33.5153846153846,27.9640019956149,24.3375,17838.5311595537,0.8
2021-11-18,32.3,26.7668110997799,24.1333333333333,17644.9993914248,20.2
2021-11-19,32.4857142857143,27.6364218805885,23,24709.86747966,0
2021-11-20,32.3363636363636,26.474858398911,20.8333333333333,24935.5152246944,0
2021-11-21,31.8363636363636,25.8942667567939,19.75,27400.5471224658,0
2021-11-22,31.3846153846154,26.1660470026427,19.85,26375.3991229359,0
